HBSC_id,Short_name,Survey_years_available,Age_groups_available,Measure_type,Measure_description,Chart_title_gender,Significance_text_gender,Notes_2014_gender,Notes_2018_gender,Notes_2022_gender,Chart_title_FAS,Significance_text_FAS,Notes_2014_FAS,Notes_18_FAS,Notes_22_FAS
alc_ever,ALCOHOL CONSUMPTION: LIFETIME USE,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked on how many days they had drunk alcohol in their lifetime. Response options were never, 1-2 days, 3-5 days, 6-9 days, 10-19 days, 20-29 days and 30 days (or more). Findings presented here show the proportions who had ever drunk alcohol.",who have ever drunk alcohol,,Note: no data were received from Greenland (11-year-olds) or Norway (11-year-olds).,Note: no data were received from Finland (11-year-olds) or  Norway (11-year-olds).,Note: no data were received from Norway (11-year-olds).,Prevalence by family affluence: lifetime alcohol consumption by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,Note: no data were received from Norway (11-year-olds).
alc_30once,ALCOHOL CONSUMPTION:  LAST 30 DAYS (CURRENT) USE,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked on how many occasions they had drunk alcohol in the last 30 days. Response options were never, 1-2 days, 3-5 days, 6-9 days, 10-19 days, 20-29 days and 30 days (or more). Findings presented here show the proportions who had drunk alcohol in the last 30 days. ",who have drunk alcohol in the last 30 days,,"Note: no data were received from Estonia (11-year-olds), Finland (11-year-olds),  Greenland (11-year-olds) or Norway (11-year-olds).",Note: no data were received from Finland (11-year-olds) or Norway (11-year-olds).,Note: no data were received from Norway (11-year-olds).,Prevalence by family affluence: alcohol consumption in last 30 days by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,Note: no data were received from Norway (11-year-olds).
drunk2,DRUNKENNESS: LIFETIME AT LEAST TWO TIMES,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked whether they had ever had so much alcohol that they were really drunk. Response options were no never, yes once, yes 2-3 times, yes 4-10 times and yes more than 10 times. Findings presented here show the proportions who had been drunk twice or more in their lifetime.",who have been drunk at least twice,,Note: no data were received from Finland (11-year-olds) or North Macedonia (11-year-olds).,Note: no data were received from Finland (11-year-olds) or Norway (11-year-olds).,"Note: no data were received from Denmark (Greenland) or Serbia. No data were received from Finland (11-year-olds), Norway (11-year-olds) and Tajikistan (11- and 13-year-olds).",Prevalence by family affluence: lifetime drunkenness by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,"Note: no data were received from Denmark (Greenland) or Serbia. No data were received from Finland (11-year-olds), Norway (11-year-olds) and Tajikistan (11- and 13-year-olds)."
drunk_30once,DRUNKENNESS: LAST 30 DAYS,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked on how many occasions in the last 30 days they had taken so much alcohol that they were really drunk. Response options were none, once, 2-3 times, 4-10 times and  more than 10 times. Findings presented here show the proportions who had been drunk on one or more occasion in the last 30 days.",who have been drunk in the last 30 days,,Note: no data were received from Finland (11-year-olds) or North Macedonia (11- and 13-year-olds) and Norway.,Note: no data were received from Finland (11- and 13-year-olds) or Norway (11-year-olds).,"Note: no data were received from Denmark (Greenland) or Serbia. No data were received from Finland (11-year-olds), Norway (11-year-olds) and Tajikistan (11- and 13-year-olds).",Prevalence by family affluence: drunkenness in the last 30 days by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,"Note: no data were received from Denmark (Greenland) or Serbia. No data were received from Finland (11-year-olds), Norway (11-year-olds) and Tajikistan (11- and 13-year-olds)."
cannabis_life,CANNABIS USE: LIFETIME USE,"2014
2018
2022",15-year-olds,PERCENT,"15-year-olds only were asked how often they had used cannabis in their lifetimes. Response options were never, 1-2 days, 3-5 days, 6-9 days, 10-19 days, 20-29 days and 30 days (or more). Findings presented here show the proportions who had used cannabis on at least one day in their lives (lifetime use).",who have ever used cannabis,,"Note: no data were received from Greece, Greenland or Norway.",Note: no data were received from Norway.,Note: no data were received from Norway and United Kingdom (England).,Prevalence by family affluence: lifetime cannabis use by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,Note: no data were received from Norway and United Kingdom (England).
cannabis_30,CANNABIS USE: LAST 30 DAYS  (CURRENT) USE,"2014
2018
2022",15-year-olds,PERCENT,"15-year-olds only were asked how often they had used cannabis during the last 30 days. Response options were never, 1-2 days, 3-5 days, 6-9 days, 10-19 days, 20-29 days and 30 days (or more). Findings presented here show the proportions who had used cannabis on at least one day in the last 30 days (current use).",who have used cannabis in the last 30 days,,"Note: no data were received from Greece, Greenland or Norway.",Note: no data were received from Norway.,Note: no data were received from Norway and United Kingdom (England).,Prevalence by family affluence: cannabis use in the last 30 days by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,Note: no data were received from Norway and United Kingdom (England).
ecig_life,ELECTRONIC CIGARETTE USE: LIFETIME USE,2022,"11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked on how many days they had used electronic cigarettes in their lifetime. Response options were never, 1-2 days, 3-5 days, 6-9 days, 10-19 days, 20-29 days and 30 days (or more). Findings presented here show the proportions who had ever used an electronic cigarette.",who have ever used an electronic cigarette,,,,"Note: no data were received from Denmark (Greenland), North Macedonia, the Republic of Moldova (11- and 13-year-olds) and Norway (11-year olds).",Prevalence by family affluence: lifetime electronic cigarette use by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,"Note: no data were received from Denmark (Greenland), North Macedonia, the Republic of Moldova (11- and 13-year-olds) and Norway (11-year olds)."
ecig_30,ELECTRONIC CIGARETTE USE: LAST 30 DAYS (CURRENT) USE,2022,"11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked on how many days they had used electronic cigarettes in the last 30 days. Response options were never, 1-2 days, 3-5 days, 6-9 days, 10-19 days, 20-29 days and 30 days (or more). Findings presented here show the proportions who had used an electronic cigarette at least once in the last 30 days.",who have used an electronic cigarette in the last 30 days,,,,"Note: no data were received from Denmark (Greenland), North Macedonia, the Republic of Moldova (11- and 13-year-olds) and Norway (11-year olds).",Prevalence by family affluence: electronic cigarette use in the last 30 days by country/region and gender,Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,"Note: no data were received from Denmark (Greenland), North Macedonia, the Republic of Moldova (11- and 13-year-olds) and Norway (11-year olds)."
,,,,,,,,,,,,,,,
MPVA_7,MODERATE TO VIGOROUS PHYSICAL ACTIVITY,"2014
2018
2022","11-year-olds
13-year-olds
15-year-olds",PERCENT,"Young people were asked to report the number of days over the past week during which they were physically active for a total of at least 60 minutes. The question was introduced by text defining moderate-to-vigorous physical activity (MVPA) as any activity that increases the heart rate and makes the person get out of breath some of the time, with examples provided. Findings presented here show the proportions who report at least 60 minutes of MVPA daily.",who report at least 60 minutes of MVPA daily,Note: country/region name in bold indicates a significant gender difference (at P < 0.05).,Significance of gender differences is not presented,Significance of gender differences is not presented,No data were received from Switzerland,Prevalence by family affluence: MVPA by country/region and gender,Note: bold indicates a significant difference in prevalence by family affluence group (at P < 0.05). Low- and high-affluence groups represent the lowest 20% and highest 20% in each country/region.,,,Note: no data were received from Switzerland.
